Year,Country of Asylum Code,Country of Asylum Name,Population Type,Female 0-4,Female 5-11,Female 12-17,Female 18-59,Female 60 or more,Female Unknown,Female Total,Male 0-4,Male 5-11,Male 12-17,Male 18-59,Male 60 or more,Male Unknown,Male Total,Total
2003,CHE,Switzerland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
2003,CHE,Switzerland,REF,0,0,0,0,0,8,8,0,0,0,0,0,8,8,16
2003,URY,Uruguay,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2003,USA,United States of America,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660
2003,USA,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33724
2004,EGY,Egypt,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ARG,Argentina,ASY,0,0,0,7,0,0,7,0,0,0,11,0,0,11,18
2004,ARG,Argentina,REF,0,0,0,5,0,0,5,0,0,0,5,0,0,5,10
2004,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
2004,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2004,BEL,Belgium,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
2004,BEL,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
2004,BIH,Bosnia and Herzegovina,ASY,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2004,BIH,Bosnia and Herzegovina,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,BGR,Bulgaria,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,CAN,Canada,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
2004,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961
2004,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823
2004,CYP,Cyprus,REF,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2004,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
2004,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2004,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
2004,ECU,Ecuador,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,EST,Estonia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,FIN,Finland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2004,FRA,France,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583
2004,GBR,United Kingdom of Great Britain and Northern Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468
2004,DEU,Germany,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
2004,DEU,Germany,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57693
2004,GRC,Greece,ASY,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8
2004,GRC,Greece,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,HUN,Hungary,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2004,HUN,Hungary,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2004,ISL,Iceland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2004,IRL,Ireland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
2004,IRL,Ireland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
2004,ITA,Italy,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2004,JOR,Jordan,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,LIE,Liechtenstein,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,LTU,Lithuania,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NLD,Netherlands,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
2004,NLD,Netherlands,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440
2004,NOR,Norway,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2004,NZL,New Zealand,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,NZL,New Zealand,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,PAN,Panama,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,PER,Peru,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,POL,Poland,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2004,POL,Poland,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2004,ROU,Romania,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,ESP,Spain,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
2004,SVK,Slovakia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2004,SVN,Slovenia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,SWE,Sweden,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216
2004,SWE,Sweden,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179
2004,CHE,Switzerland,ASY,0,0,0,10,0,0,10,0,0,0,5,0,5,10,20
2004,CHE,Switzerland,REF,0,0,0,5,0,6,11,0,0,0,5,0,7,12,23
2004,URY,Uruguay,REF,0,0,0,6,0,0,6,0,0,0,6,0,0,6,12
2004,USA,United States of America,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569
2004,USA,United States of America,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28484
2004,UZB,Uzbekistan,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,ARG,Argentina,ASY,0,0,0,5,0,0,5,0,0,0,6,0,0,6,11
2005,ARG,Argentina,REF,0,0,0,5,0,0,5,0,0,0,6,0,0,6,11
2005,ARM,Armenia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,AUS,Australia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,AUS,Australia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2005,AUT,Austria,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
2005,BEL,Belgium,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
2005,BEL,Belgium,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
2005,BLR,Belarus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005,BIH,Bosnia and Herzegovina,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,BGR,Bulgaria,ASY,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5
2005,CAN,Canada,ASY,0,0,0,134,16,8,158,0,0,0,143,6,8,157,315
2005,CAN,Canada,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
2005,CYP,Cyprus,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100
2005,CYP,Cyprus,REF,0,0,0,0,0,6,6,0,0,0,0,0,6,6,12
2005,CZE,Czechia,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
2005,CZE,Czechia,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2005,DNK,Denmark,ASY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,DNK,Denmark,REF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
